SC15 VRS SC25 ,SC15 VRS SC35,SC15 VRS SC45,SC15 VRS Availability of Sparts,SC15 VRS SC65,SC15 VRS SC75,SC15 VRS SC85,SC25 VRS SC35,SC25 VRS SC45,SC25 VRS SC55,SC25 VRS SC65,SC25 VRS SC75,SC25 VRS SC85,SC35 VRS SC45,SC35 VRS SC55,SC35 VRS SC65,SC35 VRS SC75,SC35 VRS SC85,SC45 VRS SC55,SC45 VRS SC65,SC45 VRS SC75,SC45 VRS SC85,SC55 VRS SC65,SC55 VRS SC75,SC55 VRS SC85,SC65 VRS SC75,SC65 VRS SC85,SC75 VRS SC85
1.0000,3.0000,1.0000,1.0000,1.0000,3.0000,1.0000,3.0000,1.0000,1.0000,3.0000,1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,3.0000,3.0000,1.0000,1.0000,1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,3.0000,5.0000,5.0000,3.0000,3.0000,5.0000,5.0000,7.0000,7.0000,7.0000,5.0000,9.0000,7.0000,9.0000,7.0000,1.0000,3.0000,3.0000,3.0000,3.0000,3.0000,1.0000,1.0000,3.0000,1.0000,3.0000
1.0000,9.0000,7.0000,1.0000,7.0000,1.0000,5.0000,3.0000,3.0000,7.0000,7.0000,7.0000,9.0000,3.0000,1.0000,3.0000,3.0000,3.0000,7.0000,5.0000,1.0000,3.0000,7.0000,3.0000,1.0000,9.0000,0.3333,9.0000
1.0000,1.0000,3.0000,1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3.0000,1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000
0.2000,0.2000,0.2000,1.0000,0.2000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1429,1.0000,1.0000,1.0000,0.2000,9.0000,9.0000,1.0000,0.2000,1.0000,1.0000,1.0000,1.0000,1.0000
3.0000,3.0000,5.0000,5.0000,5.0000,3.0000,3.0000,1.0000,3.0000,5.0000,3.0000,5.0000,3.0000,3.0000,1.0000,3.0000,5.0000,3.0000,5.0000,5.0000,5.0000,3.0000,1.0000,3.0000,5.0000,3.0000,3.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,3.0000,1.0000,3.0000,1.0000,3.0000,1.0000,3.0000,1.0000,3.0000,1.0000,3.0000,1.0000,3.0000,1.0000,3.0000,3.0000,3.0000,1.0000,3.0000,1.0000,3.0000,1.0000,3.0000,1.0000,3.0000,3.0000,1.0000
5.0000,1.0000,7.0000,9.0000,3.0000,0.3333,0.3333,9.0000,1.0000,1.0000,0.1111,0.2000,0.3333,1.0000,1.0000,1.0000,0.2000,0.3333,1.0000,3.0000,1.0000,3.0000,0.1111,0.1429,0.1429,1.0000,1.0000,0.1429
7.0000,5.0000,3.0000,3.0000,1.0000,3.0000,3.0000,3.0000,5.0000,5.0000,3.0000,3.0000,5.0000,5.0000,3.0000,3.0000,5.0000,5.0000,5.0000,3.0000,3.0000,3.0000,3.0000,3.0000,1.0000,1.0000,1.0000,1.0000
9.0000,1.0000,1.0000,3.0000,7.0000,1.0000,1.0000,5.0000,1.0000,1.0000,5.0000,1.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,9.0000,1.0000,3.0000,3.0000,3.0000,1.0000,3.0000,1.0000,1.0000,9.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,7.0000,1.0000,1.0000,5.0000,1.0000,1.0000,7.0000,1.0000,1.0000,1.0000,0.1111,7.0000,1.0000,1.0000,0.1111,7.0000,0.1111,0.1429,7.0000,1.0000,1.0000,0.1429,1.0000,0.1429
1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
5.0000,5.0000,5.0000,5.0000,1.0000,5.0000,5.0000,1.0000,1.0000,1.0000,1.0000,1.0000,5.0000,5.0000,5.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,3.0000,1.0000,5.0000,3.0000,1.0000,5.0000,3.0000,3.0000,5.0000,5.0000,3.0000,0.3333,9.0000,7.0000,7.0000,5.0000,3.0000,5.0000,5.0000,5.0000,5.0000,5.0000,7.0000,5.0000,5.0000,7.0000,5.0000
7.0000,7.0000,1.0000,1.0000,1.0000,9.0000,0.1111,7.0000,0.1111,0.1111,1.0000,0.1429,0.1111,0.1429,0.1111,0.1111,0.1429,0.1111,0.1111,9.0000,9.0000,0.1429,1.0000,9.0000,1.0000,9.0000,0.3333,0.3333
1.0000,3.0000,3.0000,3.0000,1.0000,3.0000,3.0000,1.0000,1.0000,1.0000,3.0000,3.0000,1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,1.0000,1.0000,3.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,3.0000,3.0000,1.0000,1.0000,1.0000
1.0000,1.0000,3.0000,3.0000,3.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,1.0000,3.0000,3.0000,3.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,1.0000
3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,5.0000,5.0000,5.0000,3.0000,5.0000,5.0000,5.0000,3.0000,5.0000,3.0000,3.0000,5.0000,5.0000,5.0000,5.0000,3.0000,3.0000,5.0000,5.0000
1.0000,3.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3.0000,3.0000,1.0000,3.0000,3.0000,1.0000,3.0000,1.0000,5.0000,3.0000,3.0000,3.0000,5.0000,3.0000,3.0000,1.0000,3.0000,1.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000
1.0000,3.0000,3.0000,0.1429,3.0000,1.0000,0.1429,0.1429,1.0000,0.1429,3.0000,0.1429,0.1429,3.0000,1.0000,3.0000,1.0000,1.0000,0.3333,3.0000,1.0000,1.0000,0.1429,3.0000,1.0000,0.1429,1.0000,0.1429
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.1111,0.1111,0.1429,0.1111,0.1429,0.1111,0.1111,0.1429,5.0000,0.1111,0.1429,0.1429,0.1111,0.1429,0.1111,0.1111,0.1111,0.1111,0.3333,0.3333,0.3333,7.0000,7.0000,1.0000,0.1111,0.1111,0.1111,0.1429
1.0000,1.0000,3.0000,1.0000,3.0000,1.0000,1.0000,1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,3.0000,1.0000,3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,0.1111,0.1111,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3.0000,1.0000,5.0000,1.0000,5.0000,1.0000,1.0000,1.0000,3.0000,1.0000,5.0000,1.0000,1.0000,3.0000,1.0000,3.0000,1.0000,1.0000,0.3333,9.0000,0.3333,0.3333,9.0000,9.0000,1.0000,0.2000,0.2000,1.0000
